"","x"
"98",0.0009255455103607
"99",0.000833203225372477
"100",0.00116033065080907
"101",0.000778451146276581
"102",0.00104738298172647
"103",0.00116967889692508
"104",0.00111148600438697
"105",0.000784947749594265
"106",0.000785310165399293
"107",0.00100517852195837
"108",0.000727822050383739
"109",0.000662144036676778
"110",0.000769620370589799
"111",0.000555875213516716
"112",0.000476965817375289
"113",0.000503544207361185
"114",0.000544222647480486
"115",0.00067693847706243
"116",0.000466251889537558
"117",0.000334654761758546
"118",0.00042224408736821
"119",0.000536969429545805
"120",0.000670944396315824
"121",0.000433543201880698
"122",0.000534805901286124
"123",0.000482164923951879
"124",0.00077419236816227
"125",0.000885479556743729
"126",0.000834557783735603
"127",0.00081633555417472
"128",0.000680632100605783
"129",0.00063209484456231
"130",0.000717339170032154
"131",0.000566132742880391
"132",0.000604371872137455
"133",0.000660681018282389
"134",0.00051555621012156
"135",0.000498556332912954
"136",0.000556683565100504
"137",0.000464293864971071
"138",0.000440390585531909
"139",0.000391789391904099
"140",0.000604199679865549
"141",0.000603714827672505
"142",0.000581156575554543
"143",0.000633401848075526
"144",0.0007799937451293
"145",0.000550096871929681
"146",0.000477783164133394
"147",0.000532977666301234
"148",0.000502076519902951
"149",0.000498400832065703
"150",0.000483585404424132
"151",0.000455572265475262
"152",0.000658008785914274
"153",0.00045397333175262
"154",0.000459619733065603
"155",0.000440916426533954
"156",0.000404381222006051
"157",0.000517772342309923
"158",0.000472102070752879
"159",0.000380449582473362
"160",0.000391292475213127
"161",0.000409325083238836
"162",0.000393618366305352
"163",0.000524177925251426
"164",0.000426224247687812
"165",0.000407199930356561
"166",0.0003736167612989
"167",0.000585709237605425
"168",0.000480490368680154
"169",0.000461052834655932
"170",0.00044591572402219
"171",0.000469597260182899
"172",0.000502150645467136
"173",0.000672469866063296
"174",0.000476538812901938
"175",0.00050844394962757
"176",0.000685687111328472
"177",0.000633134271959862
"178",0.000414244716882672
"179",0.000349585573353869
"180",0.000437484155771246
"181",0.000474163136054182
"182",0.000579432411416224
"183",0.000509560771148964
"184",0.000513016727240743
"185",0.000400654377602708
"186",0.000454786232091072
"187",0.000562599407357717
"188",0.000381353612920961
"189",0.00043533935338181
"190",0.000270235711237004
"191",0.000362165703605792
"192",0.000475799702032936
"193",0.000412322724822546
"194",0.000417408302009871
"195",0.000609753671804156
"196",0.000365515569156122
"197",0.000427300488436445
"198",0.000370233329542868
"199",0.000368539766052381
"200",0.000324692105640247
"201",0.000408407456420532
"202",0.000475908080463142
"203",0.000457541175674296
"204",0.000411072259834897
"205",0.000331826453428691
"206",0.000537528699409197
"207",0.000604777377245492
"208",0.000640037601316826
"209",0.00053558743977803
"210",0.0004892090308078
"211",0.000483435039966908
"212",0.000413713632081161
"213",0.000572223736337414
"214",0.000517445441530906
"215",0.000640470906417543
"216",0.000388984646331354
"217",0.000618474194890143
"218",0.000462376206362178
"219",0.000658101585803198
"220",0.000642995839036239
"221",0.000716074231112485
"222",0.000583140823895413
"223",0.000684294101634956
"224",0.000642600633155868
"225",0.000492747965503088
"226",0.000434203958361407
"227",0.000464873167508807
"228",0.000503362120843062
"229",0.000500189167418424
"230",0.000835691597640273
"231",0.000418386786228634
